    1 ZINC00000381 <0>1 1.273e+03   0        -25.3    0        0        -25.3      9  3  3 0.24
    2 ZINC00001358 <0>1 1.215e+03   0        -33.6    0        0        -33.6      9  3  3 0.13
    3 ZINC00001358 <0>1 1.335e+03   0        -24.5    0        0        -24.5      5  3  3 0.24
    4 ZINC00003471 <0>1 1.377e+03   0        -28      0        0        -28       10  3  3 0.59
    5 ZINC00001344 <0>1 1.415e+03   0        -26.8    0        0        -26.8      8  3  3 0.69
    6 ZINC00001358 <0>1 1.338e+03   0        -33.5    0        0        -33.5      1  3  3 0.41
    8 ZINC00001344 ZINC 1.789e+03   0        -45.7    0        0        -45.7      0  3  3 0.66
    7 ZINC00003471 ZINC 1.762e+03   0        -41.5    0        0        -41.5      0  3  3 0.10
   10 ZINC00007217 ZINC 1.875e+03   0        -47.3    0        0        -47.3      0  3  3 0.35
    9 ZINC00002719 ZINC 1.727e+03   0        -41.2    0        0        -41.2      0  3  3 0.51
   12 ZINC00000381 <0>1 1.278e+03   0        -25      0        0        -25        2  3  3 0.23
   11 ZINC00001344 ZINC 1.749e+03   0        -43.6    0        0        -43.6      0  3  3 0.17
   14 ZINC00000607 ZINC 2.146e+03   0        -51      0        0        -51        0  3  3 0.20
   13 ZINC00001344 ZINC 1.950e+03   0        -46.1    0        0        -46.1      0  3  3 0.31
   16 ZINC00001572 ZINC 2.055e+03   0        -54      0        0        -54        0  3  3 0.35
   15 ZINC00001572 ZINC 2.175e+03   0        -61.8    0        0        -61.8      0  3  3 0.32
   18 ZINC00007230 <0>1 1.291e+03   0        -31.9    0        0        -31.9      4  3  3 0.41
   17 ZINC00001933 ZINC 2.498e+03   0        -42.4    0        0        -42.4      0  3  3 0.09
   20 ZINC00007230 <0>1 1.184e+03   0        -26      0        0        -26        3  3  3 0.27
   19 ZINC00007230 <0>1 1.316e+03   0        -33.5    0        0        -33.5      0  3  3 0.35
   22 ZINC00007230 <0>1 1.094e+03   0        -24.5    0        0        -24.5      0  3  3 0.27
   21 ZINC00007230 <0>1 1.310e+03   0        -33.4    0        0        -33.4      0  3  3 0.35
   24 ZINC00007919 ZINC 2.059e+03   0        -58.5    0        0        -58.5      0  3  3 0.38
   23 ZINC00007919 ZINC 2.060e+03   0        -55.5    0        0        -55.5      0  3  3 0.39
   26 ZINC00009551 <0>1 1.338e+03   0        -24.8    0        0        -24.8      5  3  3 0.18
   25 ZINC00009545 ZINC 2.107e+03   0        -54.9    0        0        -54.9      0  3  3 0.29
   28 ZINC00000210 <0>1 1.294e+03   0        -29      0        0        -29        0  3  3 0.50
   27 ZINC00000210 <0>1 1.292e+03   0        -26.1    0        0        -26.1      7  3  3 0.23
   30 ZINC00000210 ZINC 1.963e+03   0        -46      0        0        -46        0  3  3 0.26
   29 ZINC00000210 ZINC 1.973e+03   0        -41.9    0        0        -41.9      0  3  3 0.05
   31 ZINC00000212 ZINC 2.293e+03   0        -50.7    0        0        -50.7      0  3  3 0.16
   32 ZINC00000598 <0>1 1.178e+03   0        -28.6    0        0        -28.6      8  3  3 0.19
   33 ZINC00000191 ZINC 1.507e+03   0        -47.3    0        0        -47.3      0  3  3 0.29
   34 ZINC00000191 ZINC 1.800e+03   0        -52.8    0        0        -52.8      0  3  3 0.13
   35 ZINC00000639 ZINC 2.093e+03   0        -51.8    0        0        -51.8      0  3  3 0.30
   36 ZINC00000323 ZINC 1.815e+03   0        -52.7    0        0        -52.7      0  3  3 0.36
   37 ZINC00000323 ZINC 1.734e+03   0        -54.7    0        0        -54.7      0  3  3 0.20
   38 ZINC00000210 ZINC 2.259e+03   0        -52.4    0        0        -52.4      0  3  3 0.23
   39 ZINC00000211 ZINC 2.043e+03   0        -48.3    0        0        -48.3      0  3  3 0.20
   40 ZINC00000424 ZINC 1.949e+03   0        -54.1    0        0        -54.1      0  3  3 0.27
   41 ZINC00000424 ZINC 1.610e+03   0        -34.4    0        0        -34.4      9  3  3 0.27
   42 ZINC00001246 ZINC 2.188e+03   0        -48.8    0        0        -48.8      0  3  3 0.33
   43 ZINC00001246 ZINC 2.033e+03   0        -44.9    0        0        -44.9      0  3  3 0.31
   44 ZINC00000215 ZINC 2.252e+03   0        -54.1    0        0        -54.1      0  3  3 0.20
   45 ZINC00000210 ZINC 2.062e+03   0        -48.6    0        0        -48.6      0  3  3 0.29
   46 ZINC00001923 ZINC 2.100e+03   0        -40.2    0        0        -40.2      0  3  3 0.16
   47 ZINC00002353 ZINC 1.909e+03   0        -53      0        0        -53        0  3  3 0.19
   48 ZINC00002353 ZINC 1.809e+03   0        -44.4    0        0        -44.4      0  3  3 0.19
   49 ZINC00002487 ZINC 1.974e+03   0        -52.1    0        0        -52.1      0  3  3 0.45
   50 ZINC00002995 ZINC 2.133e+03   0        -41.8    0        0        -41.8      0  3  3 0.00
   51 ZINC00002995 ZINC 2.103e+03   0        -51.2    0        0        -51.2      0  3  3 0.13
   52 ZINC00003260 ZINC 1.836e+03   0        -44.5    0        0        -44.5      0  3  3 0.19
   53 ZINC00003260 ZINC 1.837e+03   0        -42.2    0        0        -42.2      0  3  3 0.00
   54 ZINC00003530 ZINC 2.031e+03   0        -47.7    0        0        -47.7      0  3  3 0.24
   55 ZINC00003530 ZINC 2.062e+03   0        -56.8    0        0        -56.8      0  3  3 0.31
   56 ZINC00003530 ZINC 1.868e+03   0        -33.5    0        0        -33.5      8  3  3 0.19
   57 ZINC00000458 ZINC 2.171e+03   0        -40.9    0        0        -40.9      0  3  3 0.22
   58 ZINC00000458 ZINC 2.097e+03   0        -39.6    0        0        -39.6      0  3  3 0.22
   59 ZINC00003682 ZINC 1.673e+03   0        -48.8    0        0        -48.8      0  3  3 0.12
   60 ZINC00000662 <0>1 1.367e+03   0        -26.9    0        0        -26.9      9  3  3 0.21
   61 ZINC00004823 ZINC 2.031e+03   0        -49      0        0        -49        0  3  3 0.36
   62 ZINC00004823 ZINC 2.030e+03   0        -52.3    0        0        -52.3      0  3  3 0.40
   63 ZINC00004823 ZINC 2.022e+03   0        -51.4    0        0        -51.4      0  3  3 0.36
   64 ZINC00004823 ZINC 2.031e+03   0        -43.7    0        0        -43.7      0  3  3 0.30
   66 ZINC00005816 ZINC 1.856e+03   0        -47.2    0        0        -47.2      0  3  3 0.26
   65 ZINC00005816 ZINC 2.017e+03   0        -46.3    0        0        -46.3      0  3  3 0.06
   68 ZINC00000069 ZINC 1.772e+03   0        -48      0        0        -48        0  3  3 0.29
   67 ZINC00001285 UNL1 1.371e+03   0        -29.1    0        0        -29.1      5  3  3 0.37
   70 ZINC00000103 <0>1 1.635e+03   0        -26.4    0        0        -26.4      0  3  3 0.13
   69 ZINC00000069 ZINC 1.970e+03   0        -53.5    0        0        -53.5      0  3  3 0.21
   71 ZINC00000103 <0>1 1.506e+03   0        -29.1    0        0        -29.1      8  3  3 0.47
   72 ZINC00001589 ZINC 1.738e+03   0        -49.6    0        0        -49.6      0  3  3 0.38
   73 ZINC00009637 ZINC 2.116e+03   0        -49.7    0        0        -49.7      0  3  3 0.38
   74 ZINC00009637 ZINC 1.984e+03   0        -45.7    0        0        -45.7      0  3  3 0.38
   75 ZINC00009808 ZINC 1.917e+03   0        -44.7    0        0        -44.7      0  3  3 0.03
   76 ZINC00009808 ZINC 1.918e+03   0        -44.7    0        0        -44.7      0  3  3 0.03
   77 ZINC00009808 ZINC 1.917e+03   0        -43.3    0        0        -43.3      0  3  3 0.02
   78 ZINC00009808 ZINC 2.040e+03   0        -44.8    0        0        -44.8      0  3  3 0.37
   79 ZINC00000968 ZINC 2.023e+03   0        -55.3    0        0        -55.3      0  3  3 0.31
   80 ZINC00000968 ZINC 2.598e+03   0        -49.1    0        0        -49.1      0  3  3 0.19
   81 ZINC00001179 ZINC 1.829e+03   0        -49      0        0        -49        0  3  3 0.31
   82 ZINC00001179 ZINC 2.252e+03   0        -48.6    0        0        -48.6      0  3  3 0.08
   83 ZINC00001223 ZINC 1.754e+03   0        -58.9    0        0        -58.9      0  3  3 0.21
   84 ZINC00001223 ZINC 2.015e+03   0        -48.3    0        0        -48.3      0  3  3 0.25
   85 ZINC00001350 ZINC 2.024e+03   0        -57.6    0        0        -57.6      0  3  3 0.29
   86 ZINC00001708 ZINC 2.371e+03   0        -45.8    0        0        -45.8      0  3  3 0.12
   87 ZINC00001708 ZINC 2.356e+03   0        -55.5    0        0        -55.5      0  3  3 0.45
   88 ZINC00001940 ZINC 2.318e+03   0        -55.1    0        0        -55.1      0  3  3 0.17
   89 ZINC00001940 ZINC 2.177e+03   0        -57.2    0        0        -57.2      0  3  3 0.18
   90 ZINC00001949 ZINC 2.006e+03   0        -52.2    0        0        -52.2      0  3  3 0.27
   91 ZINC00001949 ZINC 2.475e+03   0        -50.6    0        0        -50.6      0  3  3 0.25
   92 ZINC00001949 ZINC 2.323e+03   0        -50.2    0        0        -50.2      0  3  3 0.23
   93 ZINC00001949 ZINC 2.162e+03   0        -46.6    0        0        -46.6      0  3  3 0.03
   94 ZINC00001952 ZINC 2.544e+03   0        -49.5    0        0        -49.5      0  3  3 0.15
